연번,호선,역명,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,데이터기준일자
74,3호선,대청,59.1,28.6,481,9.7,0.8,2022-12-31
75,3호선,일원,48.6,22.3,488,6.1,0.5,2022-12-31
76,3호선,수서(3),46.2,24.2,506,5.5,0.5,2022-12-31
77,3호선,가락시장(3),21.7,13,478,5.4,0.6,2022-12-31
78,3호선,경찰병원,24.5,14.6,496,5.3,0.5,2022-12-31
79,3호선,오금(3),25.5,13.5,484,5.4,0.5,2022-12-31
80,4호선,쌍문,50.4,29.7,505,10,0.7,2022-12-31
81,4호선,수유,98.7,34.5,493,10,0.6,2022-12-31
82,4호선,미아,49.4,23.1,480,12.2,0.5,2022-12-31
83,4호선,미아사거리,43.8,27.1,485,11.4,0.7,2022-12-31
84,4호선,길음,35.6,21.3,436,9,0.6,2022-12-31
85,4호선,성신여대입구,58.4,31.7,516,12.2,0.7,2022-12-31
86,4호선,한성대입구,47.1,29.5,513,10.4,0.9,2022-12-31
87,4호선,혜화,36.7,22.9,467,11.9,0.7,2022-12-31
88,4호선,동대문(4),56.7,29.7,485,14.4,0.8,2022-12-31
89,4호선,동대문역사문화공원(4),39.5,25.3,502,10.9,0.7,2022-12-31
90,4호선,충무로(4),53,30.7,491,7.9,0.5,2022-12-31
91,4호선,명동,46.4,31.8,505,12,0.8,2022-12-31
92,4호선,회현,40.5,25.1,466,10,0.7,2022-12-31
93,4호선,서울역(4),25.1,16.8,491,6.6,0.7,2022-12-31
94,4호선,숙대입구,28.8,17.2,471,7.6,0.8,2022-12-31
95,4호선,삼각지(4),23.3,15.1,470,5,0.8,2022-12-31
96,4호선,신용산,37.4,24.8,480,5.3,0.9,2022-12-31
97,4호선,이촌,74.2,32.8,473,8.3,1,2022-12-31
98,4호선,총신대입구(4),39.8,26.3,482,8.2,0.8,2022-12-31
99,4호선,사당(4),38.3,23,487,5.1,0.8,2022-12-31
100,4호선,남태령,40.8,23.7,463,4.1,0.6,2022-12-31
101,5호선,방화,67.4,31.7,373,7.1,0.6,2022-12-31
102,5호선,개화산,57.2,30,368,8.1,0.3,2022-12-31
103,5호선,김포공항(5),48.4,27.4,400,9,0.4,2022-12-31
104,5호선,송정,39.6,20.9,490,7.7,0.5,2022-12-31
105,5호선,마곡,27.2,14.2,476,4,0.4,2022-12-31
106,5호선,발산,23.3,11.5,476,8.2,0.5,2022-12-31
107,5호선,우장산,23.6,12.3,478,8.5,0.4,2022-12-31
108,5호선,화곡,23,13.3,531,7.3,0.5,2022-12-31
109,5호선,까치산(5),41.3,22.3,559,2.7,0.5,2022-12-31
110,5호선,신정,59.5,26.2,497,3.2,0.4,2022-12-31
111,5호선,목동,30.9,16.9,485,4.4,0.3,2022-12-31
