시군,단지명,전체면적,입주업체,가동업체,생산,인원수
81,448,127,38,38,10000,238
82,95,1045,0,0,0,0
121,481,1706,382,378,679757,8315
121,34,1123,287,284,402878,5370
121,35,583,95,94,276879,2945
121,482,506,46,45,105820,1244
81,59,178,3,3,62362,250
127,105,517,10,6,15750,262
9,253,303,43,43,66900,832
8,92,1108,0,0,0,0
81,61,101,4,3,2020,52
127,443,659,11,10,118900,894
127,28,394,7,7,110000,561
127,29,265,4,3,8900,333
9,114,545,44,32,53500,843
9,80,87,6,6,5350,140
121,437,35,9,8,13356,137
9,158,100,16,13,5495,184
49,348,101,0,0,0,0
63,364,657,27,27,80275,763
9,78,116,0,0,0,0
9,142,82,0,0,0,0
9,585,95,0,0,0,0
127,121,586,0,0,0,0
9,266,532,35,6,482,454
9,83,580,0,0,0,0
9,347,82,9,7,85,56
9,422,1095,0,0,0,0
12,438,124,0,0,0,0
25,135,1508,84,84,10500,2535
82,451,999,61,54,191596,2430
12,514,406,0,0,0,0
69,87,221,0,0,0,0
9,79,407,0,0,0,0
25,136,807,20,20,6020,822
9,168,155,0,0,0,0
8,91,1011,69,60,404200,3689
8,89,25,0,0,0,0
12,98,447,68,64,191536,1535
12,99,467,86,80,162135,1388
12,206,476,63,55,51361,634
12,378,176,0,0,0,0
59,327,231,2,0,0,0
9,485,63,0,0,0,0
9,721,808,0,0,0,0
82,191,324,0,0,0,0
8,93,83,0,0,0,0
82,450,163,0,0,0,0
93,530,134,0,0,0,0
6,458,129,5,3,4052,305
27,143,48,0,0,0,0
27,199,106,33,33,67674,198
27,245,182,36,36,0,314
27,595,87,20,20,0,265
46,312,455,48,35,10500,1151
46,495,361,15,14,38362,431
46,699,642,43,0,0,0
55,745,470,0,0,0,0
72,195,221,24,24,22000,577
72,518,79,12,11,12000,150
72,313,715,171,171,159000,3471
72,426,623,150,150,148000,3911
107,53,221,0,0,0,0
107,582,674,96,96,76512,2742
107,620,1583,435,435,198420,5532
123,280,372,0,0,0,0
123,202,712,0,0,0,0
123,421,869,0,0,0,0
7,76,465,51,44,21752,776
13,521,138,4,3,2392,58
57,238,52,3,3,2110,70
109,194,623,44,44,181536,968
128,60,3586,0,0,0,0
128,183,809,0,0,0,0
129,117,137,7,6,12300,220
129,282,85,11,8,2700,223
129,668,1866,104,104,100000,3697
130,744,42,0,0,0,0
129,177,204,31,21,200,173
72,196,232,0,0,0,0
129,281,89,20,16,200,353
113,627,60,25,25,38212,660
111,385,46,8,8,12122,102
111,614,540,61,61,149188,1806
114,150,133,49,49,74650,656
114,232,479,112,112,285775,1650
114,596,107,7,7,4092,269
110,624,232,54,54,122120,1124
72,427,207,0,0,0,0
27,144,78,0,0,0,0
27,472,100,20,20,4300,231
27,138,879,152,152,489716,4680
110,623,36,6,6,5649,174
55,651,168,0,0,0,0
55,175,71,0,0,0,0
27,141,1068,384,384,291683,3878
92,187,171,0,0,0,0
27,332,277,0,0,0,0
92,574,94,0,0,0,0
27,53,73,2,0,0,0
27,532,135,3,3,0,46
27,200,22,0,0,0,0
27,140,468,0,0,0,0
129,667,162,6,3,310,30
27,397,169,0,0,0,0
55,593,266,12,9,4597,763
72,674,156,0,0,0,0
72,486,175,35,35,30000,702
129,54,23,0,0,0,0
6,459,60,0,0,0,0
110,213,221,43,24,25120,232
72,343,190,41,41,37000,689
27,285,207,0,0,0,0
110,412,143,0,0,0,0
6,197,77,0,0,0,0
72,346,444,109,109,74000,1515
123,279,50,0,0,0,0
55,190,150,0,0,0,0
129,741,178,0,0,0,0
55,126,188,0,0,0,0
27,288,38,0,0,0,0
46,496,153,11,0,0,0
114,597,137,0,0,0,0
129,669,127,0,0,0,0
113,323,43,6,6,5547,108
107,619,354,66,66,17418,967
27,0,106,0,0,0,0
27,535,161,0,0,0,0
55,720,44,0,0,0,0
57,317,95,0,0,0,0
55,310,1836,56,54,1601444,9832
55,19,1340,38,37,1474116,8842
55,18,496,18,17,127328,990
55,311,801,20,16,39326,576
109,440,743,0,0,0,0
27,139,1076,0,0,0,0
72,53,272,0,0,0,0
129,296,70,0,0,0,0
72,424,1272,108,108,109000,10509
27,511,150,0,0,0,0
107,306,511,34,34,58220,436
129,714,1218,97,97,100000,3280
129,118,49,0,0,0,0
55,487,97,0,0,0,0
109,181,47,0,0,0,0
112,685,270,0,0,0,0
110,198,143,0,0,0,0
129,116,471,0,0,0,0
92,295,184,0,0,0,0
27,698,190,0,0,0,0
55,309,183,0,0,0,0
7,77,192,0,0,0,0
102,489,88,18,18,9532,180
